"","lambda_h","lambda_l","mu_f","mu_s","K_l","K_h","alpha","r_h","r_l","PB_l","PB_h","RJ","N_h","N_l","W_l","W_h","TC"
"128",25,35,30,20,15,10,0.7,2,13,0.336316364349468,0.036703121710159,2.57589049636437,3.81727767457271,13.5141778763922,0.256261105880914,0.147086866699256,27.7370379087725
"129",25,35,30,20,15,10,0.7,2,14,0.35167247204877,0.034658009668553,1.63506597459578,3.62443465243803,13.5982815978142,0.251889722648445,0.139952758448432,28.1823016312969
"130",25,35,30,20,15,10,0.7,2,15,0.322690560229612,0.0311037941521673,4.47671701257748,3.2892913216308,13.6687347466673,0.264513230675292,0.127479275258252,27.30162042259
"131",25,35,30,20,15,10,0.7,3,1,0.284720601362721,0.0480815600330223,5.0422245736109,4.69572582671775,13.0161898459679,0.266006069873503,0.178797920139272,26.2360311427448
"132",25,35,30,20,15,10,0.7,3,2,0.284796016653776,0.0480563117753437,5.03472609670875,4.69363426643581,13.0194689490336,0.266045030097181,0.178723020590741,26.2356227177024
"133",25,35,30,20,15,10,0.7,3,3,0.284932512657165,0.0480198740940671,5.02390447428635,4.69061577668914,13.0250595307679,0.266108474033058,0.178614919906755,26.2369708189411
"134",25,35,30,20,15,10,0.7,3,4,0.285157283892413,0.0479664366346104,5.00803408986035,4.6861890289432,13.0336430953254,0.266200138029694,0.178456369593144,26.240669151316
"135",25,35,30,20,15,10,0.7,3,5,0.285511796909728,0.0478872754503418,4.98452401960752,4.6796313333194,13.0461282198137,0.266322991687427,0.178221461546187,26.2476530736802
"136",25,35,30,20,15,10,0.7,3,6,0.286059140134915,0.0477692330326556,4.94946661668638,4.66985272461064,13.0636943050908,0.266477289862604,0.177871097663221,26.2593708215732
"137",25,35,30,20,15,10,0.7,3,7,0.286895449529688,0.0475923584433633,4.89693665445014,4.65520047135191,13.0878280669537,0.266656850009079,0.177345940075745,26.2780502056103
"138",25,35,30,20,15,10,0.7,3,8,0.288167966994179,0.047326180158781,4.81788439887652,4.63315031901923,13.120336410346,0.266842164019911,0.176555240492745,26.3071205020882
"139",25,35,30,20,15,10,0.7,3,9,0.290104274899848,0.0469236745979996,4.69834432253021,4.5998068441978,13.1633056006297,0.266987839259255,0.175358680185081,26.3518956430859
"140",25,35,30,20,15,10,0.7,3,10,0.293061249608123,0.0463111685452031,4.51643622622536,4.54906697340014,13.2189519626658,0.26699969662792,0.173535774642864,26.4207182081471
"141",25,35,30,20,15,10,0.7,3,11,0.297610925682373,0.0453706301117698,4.23710583406636,4.47115297014293,13.2892616313643,0.26669234787482,0.170731757702458,26.5269656731487
"142",25,35,30,20,15,10,0.7,3,12,0.304700763108183,0.0439066164835809,3.80230860903928,4.34987439338247,13.3752139863337,0.265707887941788,0.166355445065619,26.6927943474953
"143",25,35,30,20,15,10,0.7,3,13,0.315978338073383,0.041579314285965,3.11112341933948,4.15708117562567,13.4751291567823,0.26335086401423,0.159369303636482,26.9567226316023
"144",25,35,30,20,15,10,0.7,3,14,0.334524058597657,0.0377534368390206,1.97487655305654,3.84014630378342,13.5809479160462,0.258222688559058,0.147806703314037,27.3907393713225
"145",25,35,30,20,15,10,0.7,3,15,0.282563187751645,0.0311037941521673,5.40743859527133,3.2892913216308,13.6687347466673,0.280184385260494,0.127479275258252,24.9611993713962
"146",25,35,30,20,15,10,0.7,4,1,0.26452319774551,0.0591380610807639,5.75050747956396,5.29589319018372,12.8735776986405,0.270520507410595,0.199308173409017,26.0208519858934
"147",25,35,30,20,15,10,0.7,4,2,0.264629846201229,0.0590853716636622,5.73969960333488,5.29212185266031,12.8785114057527,0.270584940375645,0.199177394644259,26.0188830748543
"148",25,35,30,20,15,10,0.7,4,3,0.264818345592714,0.0590116950532647,5.72458674519458,5.28684831993449,12.8867198724924,0.270688001021206,0.198994497563426,26.0188884415808
"149",25,35,30,20,15,10,0.7,4,4,0.265121539205406,0.0589066567805192,5.70304085014399,5.27933002117185,12.8990192737258,0.270834612275297,0.198733693583344,26.0213079359528
"150",25,35,30,20,15,10,0.7,4,5,0.265588762782061,0.0587550525541862,5.6719431496162,5.26847868253635,12.9164800550044,0.271028802791332,0.198357157626533,26.0268696820131
"151",25,35,30,20,15,10,0.7,4,6,0.266293830306963,0.0585344481492732,5.6266918404342,5.25268853499167,12.9404612916833,0.271271322525199,0.197809012411837,26.0367182260933
"152",25,35,30,20,15,10,0.7,4,7,0.267347339129716,0.0582114922565087,5.56044576089012,5.2295724000297,12.9726318611327,0.271555235758558,0.197006047470421,26.0526138191443
"153",25,35,30,20,15,10,0.7,4,8,0.26891601897693,0.0577361283442957,5.4629371033726,5.19554739352895,13.0149603693242,0.271857972561801,0.195823064095892,26.0772472452731
